Asset,1m,10m,15m,20m,30m,40m,60m,90m,100m,125m,250m
22,-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,508938,-,-,-,-
41,-,-,-,-,-,-,24488,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,-
69,-,-,-,-,-,-,349269,-,-,-,-
99,-,-,-,-,-,-,88594,-,-,-,-
117,-,-,-,-,-,-,243,-,-,-,-
130,-,-,-,-,-,-,784625,-,-,-,-
131,-,-,-,-,-,-,112050,-,-,-,-
160,-,-,-,-,-,-,1514708,-,-,-,-
161,-,-,-,-,-,-,208681,-,-,-,-
176,-,-,-,-,-,-,417050,-,-,-,-
180,-,-,-,-,-,-,5534,-,-,-,-
181,-,-,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,387628,-,-,-,-
191,-,-,-,-,-,-,-,-,-,-,-
198,-,-,-,-,-,-,266387,-,-,-,-
207,-,-,-,-,-,-,448447,-,-,-,-
221,-,-,-,-,-,-,396974,-,-,-,-
222,-,-,-,-,-,-,6184,-,-,-,-
228,-,-,-,-,-,-,462394,-,-,-,-
229,-,-,-,-,-,-,8360,-,-,-,-
237,-,-,-,-,-,-,296484,-,-,-,-
258,-,-,-,-,-,-,382054,-,-,-,-
259,-,-,-,-,-,-,88056,-,-,-,-
265,-,-,-,-,-,-,32476,-,-,-,-
272,-,-,-,-,-,-,-,-,-,-,-
280,-,-,-,-,-,-,206527,-,-,-,-
281,-,-,-,-,-,-,734847,-,-,-,-
286,-,-,-,-,-,-,243,-,-,-,-
288,-,-,-,-,-,-,321362,-,-,-,-
289,-,-,-,-,-,-,295184,-,-,-,-
301,-,-,-,-,-,-,-,-,-,-,-
304,-,-,-,-,-,-,-,-,-,-,-
309,-,-,-,-,-,-,129531,-,-,-,-
310,-,-,-,-,-,-,717108,-,-,-,-
311,-,-,-,-,-,-,348463,-,-,-,-
312,-,-,-,-,-,-,102298,-,-,-,-
327,-,-,-,-,-,-,326203,-,-,-,-
