Fishnet,Fish_Id,Total_Lakes,Exported_Lakes,Percentage_Missing
1,22,1,1,100.0
1,29,3,3,100.0
1,30,1,1,100.0
1,39,2386,1,0.041911148365465216
1,41,112,1,0.8928571428571429
1,51,179,179,100.0
1,69,1119,0,0.0
1,99,246,0,0.0
1,117,1,0,0.0
1,130,2215,1,0.045146726862302484
1,131,278,0,0.0
1,160,4438,0,0.0
1,161,673,0,0.0
1,176,1024,0,0.0
1,180,15,0,0.0
1,181,1,1,100.0
1,190,1151,0,0.0
1,191,4432,0,0.0
1,198,759,758,99.86824769433466
1,207,1268,0,0.0
1,221,1395,0,0.0
1,222,17,0,0.0
1,228,1555,1554,99.93569131832797
1,229,23,0,0.0
1,237,736,0,0.0
1,258,1236,1235,99.91909385113269
1,259,257,0,0.0
1,265,93,0,0.0
1,272,2,2,100.0
1,280,700,2,0.2857142857142857
1,281,2671,0,0.0
1,286,1,0,0.0
1,288,1069,16,1.4967259120673526
1,289,839,0,0.0
1,301,3,3,100.0
1,304,1,1,100.0
1,309,401,0,0.0
1,310,2748,2747,99.96360989810772
1,311,1160,0,0.0
1,312,363,362,99.72451790633609
1,327,899,0,0.0
1,330,1,1,100.0
1,331,1,1,100.0
1,340,442,3,0.6787330316742082
1,341,1197,0,0.0
1,342,580,579,99.82758620689656
1,343,25,0,0.0
1,348,603,602,99.83416252072969
1,354,1,1,100.0
1,361,1,1,100.0
1,370,1745,17,0.9742120343839542
1,371,325,324,99.6923076923077
1,372,1106,4,0.3616636528028933
1,373,116,1,0.8620689655172413
1,376,12,0,0.0
1,380,1,1,100.0
1,382,3,3,100.0
1,387,1130,1129,99.91150442477876
1,393,1,1,100.0
1,398,5,0,0.0
1,399,1089,1088,99.90817263544537
1,400,2962,2961,99.966239027684
1,401,2885,10,0.3466204506065858
1,402,1042,1041,99.90403071017275
1,415,515,514,99.80582524271844
1,422,104,104,100.0
1,446,60,0,0.0
1,450,3,3,100.0
1,452,2,2,100.0
1,460,1030,2,0.1941747572815534
1,469,63,0,0.0
1,472,284,2,0.704225352112676
1,476,328,1,0.3048780487804878
1,477,1,0,0.0
1,479,3,3,100.0
1,486,1,1,100.0
1,488,35,0,0.0
1,489,2310,2309,99.95670995670996
1,490,1129,2,0.1771479185119575
1,491,2,0,0.0
1,499,112,0,0.0
1,502,1521,2,0.13149243918474687
1,504,419,2,0.477326968973747
1,506,517,516,99.80657640232108
1,517,1,0,0.0
1,520,28,0,0.0
1,525,508,0,0.0
1,532,2068,0,0.0
1,534,1454,0,0.0
1,538,2,2,100.0
1,548,1700,1699,99.94117647058823
1,549,64,2,3.125
1,550,142,0,0.0
1,562,2118,0,0.0
1,563,233,0,0.0
1,564,1338,0,0.0
1,566,40,0,0.0
1,572,9,0,0.0
1,579,1286,3,0.2332814930015552
1,580,34,0,0.0
1,591,212,0,0.0
1,592,2293,0,0.0
1,593,1334,0,0.0
1,595,1497,5,0.33400133600534404
1,596,104,103,99.03846153846153
1,609,1144,0,0.0
1,621,540,0,0.0
1,622,1360,0,0.0
1,623,1647,0,0.0
1,625,1219,0,0.0
1,626,62,0,0.0
1,638,2992,0,0.0
1,639,1136,0,0.0
1,653,1176,0,0.0
1,654,912,3,0.32894736842105265
1,655,4169,0,0.0
1,665,12,0,0.0
1,666,343,0,0.0
1,668,3469,0,0.0
1,670,3,0,0.0
1,677,26,0,0.0
1,682,508,2,0.3937007874015748
1,683,1295,1,0.07722007722007722
1,685,2288,1,0.043706293706293704
1,687,320,0,0.0
1,697,738,1,0.13550135501355012
1,698,1733,0,0.0
1,703,5,5,100.0
1,715,1546,1545,99.9353169469599
1,727,1563,0,0.0
1,728,2598,0,0.0
1,729,3463,1,0.028876696505919723
1,730,905,0,0.0
1,735,430,0,0.0
1,738,619,0,0.0
1,755,471,0,0.0
1,756,847,0,0.0
1,757,3427,0,0.0
1,758,9441,0,0.0
1,760,6143,6142,99.98372130880678
1,761,2334,2333,99.95715509854327
1,766,1414,0,0.0
1,767,1395,1394,99.92831541218638
1,768,2133,2132,99.95311767463666
1,769,3574,3573,99.97202014549525
1,770,1950,4,0.20512820512820512
1,775,794,0,0.0
1,776,2679,2678,99.96267263904441
1,777,284,1,0.352112676056338
1,785,3151,0,0.0
1,786,2417,0,0.0
1,787,4449,1,0.02247696111485727
1,791,12272,12271,99.99185136897002
1,796,1924,0,0.0
1,797,2556,2555,99.96087636932707
1,798,3327,3326,99.96994289149384
1,799,2067,2066,99.95162070633769
1,800,2781,2780,99.96404171161453
1,801,2229,1,0.04486316733961418
1,802,1035,1,0.0966183574879227
1,805,1356,1355,99.92625368731564
1,806,401,0,0.0
1,812,446,0,0.0
1,814,318,0,0.0
1,815,6906,0,0.0
1,816,6375,0,0.0
1,821,6924,4,0.057770075101097634
1,825,1626,1625,99.93849938499385
1,826,1370,0,0.0
1,827,4208,3,0.07129277566539924
1,828,2284,1,0.043782837127845885
1,829,1354,6,0.4431314623338257
1,830,1160,1159,99.91379310344827
1,831,5096,5095,99.98037676609106
1,832,3529,3528,99.97166336072542
1,835,578,577,99.82698961937716
1,836,84,1,1.1904761904761905
1,840,21,21,100.0
1,841,2,0,0.0
1,842,4304,2,0.046468401486988845
1,843,1029,0,0.0
1,844,1278,4,0.3129890453834116
1,845,3193,0,0.0
1,846,11161,1,0.008959770629871876
1,848,12837,0,0.0
1,851,1,0,0.0
1,855,1040,0,0.0
1,856,4299,3,0.06978367062107467
1,857,5997,5,0.08337502084375521
1,858,3456,3455,99.97106481481481
1,859,1170,1169,99.91452991452991
1,861,3389,3388,99.97049277072882
1,862,2905,2904,99.96557659208261
1,865,1060,1059,99.90566037735849
1,869,541,1,0.18484288354898337
1,871,335,334,99.70149253731343
1,873,4664,4663,99.97855917667239
1,874,3634,3633,99.97248211337369
1,875,4686,0,0.0
1,880,8847,8846,99.98869673335594
1,881,241,240,99.5850622406639
1,882,136,0,0.0
1,884,19,0,0.0
1,885,26,0,0.0
1,886,6884,0,0.0
1,887,8101,7,0.08640908529811134
1,888,6474,6473,99.98455359901143
1,889,1333,1332,99.92498124531133
1,891,6258,6257,99.98402045381911
1,892,10030,10029,99.99002991026919
1,896,2896,2895,99.96546961325967
1,897,1053,1052,99.90503323836657
1,899,1073,6,0.5591798695246971
1,900,1019,6,0.5888125613346418
1,901,2413,2412,99.95855781185247
1,902,6559,0,0.0
1,903,5068,5067,99.9802683504341
1,904,5133,5132,99.98051821546854
1,909,12420,1,0.008051529790660225
1,911,1345,9,0.6691449814126395
